gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,equivalent,reference,comment
diet dr pepper,dr. pepper,diet soda,,b,3,soda,diet,,"caffeine, artificial sweetener",,complete,4,,,
double espresso,,espresso,,b,2,coffee,,,caffeine,,complete,1,,,
earl grey,,earl grey tea,,b,2,tea,earl grey,,caffeine,,complete,1,,,
english breakfast tea,,english breakfast tea,,b,3,tea,black,,caffeine,,complete,1,,,
expresso,,espresso,espresso,b,1,coffee,,,caffeine,,complete,,,,
filter coffee,,filtered coffee,coffee,b,2,coffee,,,caffeine,,complete,1,,,
flat white coffee,,coffee with milk,,b,3,"coffee, dairy",milk,,saturated fat,,complete,1,,,
french bread,,french bread,,f,2,grain,wheat,,,,complete,3,,,
fried fish,,fried fish,,f,2,protein,seafood,fish,"saturated fat, fried",,complete,3,,,
fried potato,,fried potato,,f,2,vegetable,,,"saturated fat, fried",,complete,3,,,
fruit juice,,fruit juice,,b,2,juice/smoothie,fruit,,,,complete,1,,,
fruit tea,,fruit tea,,b,2,tea,herbal,,,,complete,1,,,
ginger ale,,ginger ale,,b,2,soda,,,added sugar,,complete,4,,,
ginger beer,,ginger beer,,b,2,soda,,,"fermented, added sugar",,complete,4,,,
glass white wine,,white wine,,"modifier, b",3,alcohol,wine,,,,complete,3,,,
goat milk,,goat milk,,b,2,dairy,milk,,saturated fat,,complete,1,,,
grape juice,,grape juice,,b,2,juice/smoothie,fruit,,,,incomplete,1,,,
grapefruit juice,,grapefruit juice,,b,2,juice/smoothie,fruit,,,,incomplete,1,,,
hard cider,,hard cider,,b,2,alcohol,cider,,,,complete,3,,,
herb tea,,herbal tea,herbal tea,b,2,tea,herbal,,,,complete,1,,,
hibiscus tea,,hibiscus tea,,b,2,tea,herbal,,,,complete,1,,,
ice coffee,,iced coffee,iced coffee,b,2,coffee,,,caffeine,,complete,1,,,
instant coffee,,instant coffee,,b,2,coffee,,,caffeine,,complete,4,,,
lemon ginger tea,,lemon ginger tea,,b,3,tea,herbal,,,,complete,1,,,
lemon tea,,lemon tea,,b,2,tea,herbal,,,,complete,1,,,
light beer,,light beer,,b,2,alcohol,beer,light,fermented,,complete,3,,,
lime juice,,lime juice,,b,2,juice/smoothie,fruit,,,,complete,1,,,
macchiato,,macchiato,,b,1,"coffee, dairy",milk,,caffeine,,incomplete,,,,
martini,,martini,,b,1,alcohol,liquor,mixed,,,complete,,,,
matcha green,,,,b,2,,,,,,vague,1,,,
matcha green tea,,,,b,3,tea,green,,caffeine,,complete,1,,,
matcha latte,,matcha latte,,b,2,"tea, dairy",milk,,"caffeine, saturated fat",,complete,1,,,
matcha tea,,matcha tea,,b,2,tea,green,,caffeine,,complete,1,,,
milk chocolate,,milk chocolate,,f,2,dessert/sweet treat,chocolate,,"added sugar, saturated fat",,complete,4,,,
milk no sugar,,milk,milk,b,3,dairy,milk,,saturated fat,,complete,1,,,
milk stevia,,milk with stevia,,b,2,dairy,milk,,artificial sweetener,,complete,4,,,
milk tea,,milk tea,,b,2,"dairy, tea",milk,,"added sugar, caffeine, additive",,complete,4,,,
milkshake,,milkshake,,b,1,dairy,milkshake,,"saturated fat, additive",,complete,,,,
minestrone,,italian soup,,b,1,"other, grain","soup, wheat",,high sodium,,incomplete,,,,
miso soup,,miso soup,,b,2,other,soup,,high sodium,,incomplete,4,,,
mountain dew,,mountain dew,,b,2,soda,,,"caffeine, added sugar",,complete,4,,,
mushroom soup,,mushroom soup,,b,2,other,soup,,high sodium,,incomplete,3,,,
